"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.06.2009","1,5415","1,5315","1,5899","1,5155","","0,38%"
"01.05.2009","1,5356","1,5966","1,6000","1,5198","","-3,92%"
"01.04.2009","1,5983","1,6639","1,6744","1,5560","","-3,83%"
"01.03.2009","1,6620","1,7023","1,8255","1,6400","","-2,24%"
"01.02.2009","1,7001","1,6445","1,7183","1,6030","","3,46%"
"01.01.2009","1,6433","1,5405","1,6829","1,5005","","6,67%"
"01.12.2008","1,5405","1,5695","1,6230","1,4865","","-1,58%"
"01.11.2008","1,5652","1,5138","1,7517","1,4797","","1,49%"
"01.10.2008","1,5422","1,2741","1,7426","1,2645","","20,81%"
"01.09.2008","1,2765","1,1839","1,2964","1,1789","","7,77%"
"01.08.2008","1,1845","1,1603","1,1986","1,1433","","1,97%"
"01.07.2008","1,1616","1,2239","1,2586","1,1502","","-5,07%"
"01.06.2008","1,2237","1,2195","1,2675","1,2060","","0,39%"
"01.05.2008","1,2189","1,2723","1,2820","1,2027","","-4,38%"
"01.04.2008","1,2747","1,3313","1,3467","1,2685","","-4,50%"
"01.03.2008","1,3347","1,2216","1,3400","1,2000","","9,36%"
"01.02.2008","1,2205","1,1681","1,2405","1,1580","","4,18%"
"01.01.2008","1,1715","1,1692","1,2517","1,1463","","0,33%"
"01.12.2007","1,1677","1,1841","1,1993","1,1603","","-1,34%"
"01.11.2007","1,1835","1,1636","1,2316","1,1610","","1,60%"
"01.10.2007","1,1649","1,2067","1,2517","1,1643","","-3,50%"
"01.09.2007","1,2071","1,3012","1,3170","1,2025","","-7,17%"
"01.08.2007","1,3003","1,3026","1,4242","1,2487","","1,25%"
"01.07.2007","1,2843","1,3100","1,3310","1,2310","","-2,15%"
"01.06.2007","1,3125","1,3130","1,3655","1,2935","","-0,38%"
"01.05.2007","1,3175","1,3725","1,3905","1,3145","","-3,44%"
"01.04.2007","1,3645","1,3895","1,3945","1,3225","","-1,98%"
"01.03.2007","1,3920","1,4145","1,4645","1,3770","","-1,49%"
"01.02.2007","1,4130","1,4070","1,4350","1,3745","","0,46%"
"01.01.2007","1,4065","1,4153","1,4595","1,4005","","-0,64%"
"01.12.2006","1,4155","1,4505","1,4610","1,4065","","-2,63%"
"01.11.2006","1,4537","1,4543","1,4893","1,4303","","-0,24%"
"01.10.2006","1,4572","1,5108","1,5232","1,4407","","-3,78%"
"01.09.2006","1,5145","1,4640","1,5505","1,4385","","3,40%"
"01.08.2006","1,4647","1,4960","1,5150","1,4320","","-2,20%"
"01.07.2006","1,4976","1,5840","1,6160","1,4790","","-5,36%"
"01.06.2006","1,5825","1,5685","1,7585","1,5055","","0,57%"
"01.05.2006","1,5735","1,3205","1,5815","1,3135","","18,98%"
"01.04.2006","1,3225","1,3440","1,3550","1,3170","","-1,64%"
"01.03.2006","1,3445","1,3187","1,3675","1,2975","","2,32%"
"01.02.2006","1,3140","1,3240","1,3425","1,3075","","-0,67%"
"01.01.2006","1,3228","1,3502","1,3563","1,3173","","-2,05%"
"01.12.2005","1,3505","1,3555","1,3634","1,3380","","-0,44%"
"01.11.2005","1,3565","1,3515","1,3751","1,3445","","0,37%"
"01.10.2005","1,3515","1,3540","1,3775","1,3285","","0,37%"
"01.09.2005","1,3465","1,3395","1,3595","1,3265","","0,11%"
"01.08.2005","1,3450","1,3245","1,3827","1,3095","","1,44%"
"01.07.2005","1,3259","1,3315","1,3760","1,3190","","-0,35%"
"01.06.2005","1,3305","1,3625","1,3855","1,3295","","-2,49%"
"01.05.2005","1,3645","1,3965","1,3975","1,3355","","-1,94%"
"01.04.2005","1,3915","1,3520","1,4110","1,3325","","2,88%"
"01.03.2005","1,3525","1,2805","1,3990","1,2485","","5,42%"
"01.02.2005","1,2830","1,3375","1,3495","1,2765","","-3,93%"
"01.01.2005","1,3355","1,3475","1,4175","1,3170","","-0,96%"
"01.12.2004","1,3485","1,4335","1,4605","1,3365","","-5,80%"
"01.11.2004","1,4315","1,4735","1,4840","1,4195","","-2,72%"
"01.10.2004","1,4715","1,5030","1,5150","1,4715","","-2,16%"
"01.09.2004","1,5040","1,5015","1,5505","1,4855","","0,13%"
"01.08.2004","1,5020","1,4625","1,5325","1,4405","","2,32%"
"01.07.2004","1,4680","1,4805","1,5021","1,4225","","-1,18%"
"01.06.2004","1,4855","1,4830","1,5320","1,4620","","-0,27%"
"01.05.2004","1,4895","1,4185","1,5755","1,4125","","4,85%"
"01.04.2004","1,4206","1,3106","1,4576","1,3036","","8,15%"
"01.03.2004","1,3135","1,3265","1,3375","1,3070","","-1,02%"
"01.02.2004","1,3270","1,3380","1,3630","1,3020","","-1,04%"
"01.01.2004","1,3410","1,4035","1,4045","1,3090","","-4,39%"
"01.12.2003","1,4026","1,4615","1,4680","1,3940","","-4,16%"
"01.11.2003","1,4635","1,4845","1,5155","1,4506","","-1,41%"
"01.10.2003","1,4844","1,3875","1,5325","1,3610","","6,81%"
"01.09.2003","1,3898","1,4041","1,4126","1,3451","","-0,86%"
"01.08.2003","1,4018","1,4272","1,4462","1,3802","","-1,52%"
"01.07.2003","1,4234","1,4179","1,4449","1,3689","","0,24%"
"01.06.2003","1,4200","1,4320","1,4575","1,4062","","-0,63%"
"01.05.2003","1,4290","1,5640","1,5695","1,4190","","-8,73%"
"01.04.2003","1,5657","1,7107","1,7127","1,5627","","-8,73%"
"01.03.2003","1,7155","1,6665","1,7755","1,5910","","7,42%"
"01.02.2003","1,5970","1,6510","1,6575","1,5880","","-3,21%"
"01.01.2003","1,6500","1,6600","1,7080","1,6390","","-0,60%"
"01.12.2002","1,6600","1,5350","1,7020","1,5050","","7,90%"
"01.11.2002","1,5385","1,6785","1,7395","1,5305","","-8,26%"
"01.10.2002","1,6770","1,6630","1,6890","1,6290","","1,33%"
"01.09.2002","1,6550","1,6320","1,6920","1,6050","","1,53%"
"01.08.2002","1,6300","1,6950","1,6970","1,6100","","-3,55%"
"01.07.2002","1,6900","1,5750","1,7110","1,5450","","6,79%"
"01.06.2002","1,5825","1,4455","1,6685","1,4175","","9,93%"
"01.05.2002","1,4395","1,3455","1,4745","1,3425","","7,35%"
"01.04.2002","1,3410","1,3470","1,3855","1,2800","","-0,48%"
"01.03.2002","1,3475","1,3955","1,3975","1,3225","","-3,51%"
"01.02.2002","1,3965","1,3035","1,4215","1,2915","","6,85%"
"01.01.2002","1,3070","1,4570","1,4700","1,3045","","-9,86%"
"01.12.2001","1,4500","1,4990","1,5030","1,4020","","-1,96%"
"01.11.2001","1,4790","1,5950","1,6400","1,3940","","-7,42%"
"01.10.2001","1,5975","1,5445","1,7075","1,4705","","3,73%"
"01.09.2001","1,5400","1,3210","1,5880","1,3025","","12,41%"
"01.08.2001","1,3700","1,3200","1,5200","1,2610","","3,01%"
"01.07.2001","1,3300","1,2750","1,5250","1,2040","","5,14%"
"01.06.2001","1,2650","1,1650","1,3253","1,1000","","8,12%"
"01.05.2001","1,1700","1,1450","1,2350","1,0500","","2,14%"
"01.04.2001","1,1455","1,0525","1,3225","1,0125","","9,62%"
"01.03.2001","1,0450","0,9950","1,1450","0,8250","","9,42%"
"01.02.2001","0,9550","0,6978","1,1750","0,6958","","41,44%"
"01.01.2001","0,6752","0,6679","0,6817","0,6623","","0,73%"
"01.12.2000","0,6703","0,6817","0,6845","0,6679","","-1,82%"
"01.11.2000","0,6827","0,6825","0,6924","0,6741","","0,06%"
"01.10.2000","0,6823","0,6650","0,6892","0,6636","","2,66%"
"01.09.2000","0,6646","0,6548","0,6740","0,6515","","1,45%"
"01.08.2000","0,6551","0,6352","0,6554","0,6348","","3,13%"
"01.07.2000","0,6352","0,6207","0,6363","0,6192","","2,39%"
"01.06.2000","0,6204","0,6138","0,6244","0,6075","","0,76%"
"01.05.2000","0,6157","0,6108","0,6233","0,6094","","0,72%"
"01.04.2000","0,6113","0,5897","0,6118","0,5863","","3,77%"
"01.03.2000","0,5891","0,5730","0,5898","0,5709","","2,58%"
"01.02.2000","0,5743","0,5611","0,5759","0,5566","","2,61%"
"01.01.2000","0,5597","0,5407","0,5599","0,5343","","3,19%"
"01.12.1999","0,5424","0,5178","0,5432","0,5164","","4,71%"
"01.11.1999","0,5180","0,4829","0,5182","0,4815","","7,74%"
"01.10.1999","0,4808","0,4607","0,4816","0,4587","","4,30%"
"01.09.1999","0,4610","0,4455","0,4646","0,4434","","3,48%"
"01.08.1999","0,4455","0,4297","0,4478","0,4282","","3,80%"
"01.07.1999","0,4292","0,4207","0,4337","0,4207","","1,68%"
"01.06.1999","0,4221","0,4071","0,4223","0,4066","","3,76%"
"01.05.1999","0,4068","0,3918","0,4072","0,3889","","3,70%"
"01.04.1999","0,3923","0,3728","0,3923","0,3724","","5,20%"
"01.03.1999","0,3729","0,3548","0,3741","0,3539","","5,37%"
"01.02.1999","0,3539","0,3340","0,3550","0,3334","","6,09%"
"01.01.1999","0,3336","0,3157","0,3338","0,3144","","5,77%"
"01.12.1998","0,3154","0,3034","0,3162","0,3018","","3,85%"
"01.11.1998","0,3037","0,2875","0,3048","0,2871","","5,41%"
"01.10.1998","0,2881","0,2775","0,2883","0,2728","","3,82%"
"01.09.1998","0,2775","0,2770","0,2784","0,2724","","0,07%"
"01.08.1998","0,2773","0,2712","0,2802","0,2707","","2,21%"
"01.07.1998","0,2713","0,2666","0,2721","0,2662","","1,84%"
"01.06.1998","0,2664","0,2582","0,2669","0,2567","","3,14%"
"01.05.1998","0,2583","0,2497","0,2588","0,2492","","3,32%"
"01.04.1998","0,2500","0,2432","0,2502","0,2428","","2,84%"
"01.03.1998","0,2431","0,2302","0,2434","0,2300","","5,19%"
"01.02.1998","0,2311","0,2196","0,2311","0,2191","","5,67%"
"01.01.1998","0,2187","0,2074","0,2187","0,2069","","5,40%"
"01.12.1997","0,2075","0,1961","0,2077","0,1960","","6,03%"
"01.11.1997","0,1957","0,1842","0,1958","0,1832","","6,24%"
"01.10.1997","0,1842","0,1743","0,1842","0,1739","","5,74%"
"01.09.1997","0,1742","0,1681","0,1744","0,1680","","3,94%"
"01.08.1997","0,1676","0,1601","0,1678","0,1597","","4,75%"
"01.07.1997","0,1600","0,1487","0,1600","0,1485","","7,74%"
"01.06.1997","0,1485","0,1416","0,1486","0,1414","","5,17%"
"01.05.1997","0,1412","0,1356","0,1412","0,1353","","4,13%"
"01.04.1997","0,1356","0,1276","0,1357","0,1275","","6,19%"
"01.03.1997","0,1277","0,1230","0,1281","0,1229","","3,91%"
"01.02.1997","0,1229","0,1163","0,1230","0,1163","","5,77%"
"01.01.1997","0,1162","0,1083","0,1166","0,1076","","7,20%"
"01.12.1996","0,1084","0,1016","0,1092","0,1016","","5,96%"
"01.11.1996","0,1023","0,0965","0,1024","0,0961","","6,12%"
"01.10.1996","0,0964","0,0919","0,0965","0,0918","","4,78%"
"01.09.1996","0,0920","0,0870","0,0921","0,0866","","5,87%"
"01.08.1996","0,0869","0,0834","0,0870","0,0833","","4,32%"
"01.07.1996","0,0833","0,0817","0,0839","0,0813","","1,09%"
"01.06.1996","0,0824","0,0785","0,0828","0,0783","","5,10%"
"01.05.1996","0,0784","0,0752","0,0790","0,0751","","4,12%"
"01.04.1996","0,0753","0,0715","0,0753","0,0712","","5,76%"
"01.03.1996","0,0712","0,0663","0,0714","0,0661","","7,55%"
"01.02.1996","0,0662","0,0629","0,0662","0,0628","","5,25%"
"01.01.1996","0,0629","0,0612","0,0629","0,0586","","3,28%"
"01.12.1995","0,0609","0,0553","0,0642","0,0548","","10,73%"
"01.11.1995","0,0550","0,0512","0,0550","0,0510","","7,21%"
"01.10.1995","0,0513","0,0492","0,0513","0,0489","","4,27%"
"01.09.1995","0,0492","0,0483","0,0494","0,0466","","2,29%"
"01.08.1995","0,0481","0,0452","0,0482","0,0450","","6,65%"
"01.07.1995","0,0451","0,0442","0,0452","0,0440","","2,04%"
"01.06.1995","0,0442","0,0431","0,0442","0,0427","","2,79%"
"01.05.1995","0,0430","0,0428","0,0446","0,0421","","0,94%"
"01.04.1995","0,0426","0,0421","0,0430","0,0416","","0,95%"
"01.03.1995","0,0422","0,0418","0,0425","0,0415","","1,93%"
"01.02.1995","0,0414","0,0408","0,0417","0,0405","","1,97%"
"01.01.1995","0,0406","0,0393","0,0412","0,0391","","4,91%"
"01.12.1994","0,0387","0,0367","0,0396","0,0362","","6,03%"
"01.11.1994","0,0365","0,0359","0,0370","0,0356","","2,24%"
"01.10.1994","0,0357","0,0342","0,0362","0,0340","","3,78%"
"01.09.1994","0,0344","0,0344","0,0349","0,0334","","0,29%"
"01.08.1994","0,0343","0,0312","0,0357","0,0310","","9,94%"
"01.07.1994","0,0312","0,0313","0,0317","0,0305","","0,00%"
"01.06.1994","0,0312","0,0306","0,0347","0,0301","","-0,64%"
"01.05.1994","0,0314","0,0352","0,0367","0,0309","","-10,03%"
"01.04.1994","0,0349","0,0261","0,0408","0,0244","","36,86%"
"01.03.1994","0,0255","0,0210","0,0272","0,0204","","26,87%"
"01.02.1994","0,0201","0,0178","0,0203","0,0171","","14,86%"
"01.01.1994","0,0175","0,0155","0,0197","0,0153","","17,45%"
"01.12.1993","0,0149","0,0141","0,0149","0,0139","","5,67%"
"01.11.1993","0,0141","0,0134","0,0141","0,0132","","6,02%"
"01.10.1993","0,0133","0,0124","0,0134","0,0121","","8,13%"
"01.09.1993","0,0123","0,0120","0,0124","0,0117","","2,50%"
"01.08.1993","0,0120","0,0115","0,0120","0,0113","","3,45%"
"01.07.1993","0,0116","0,0110","0,0117","0,0109","","6,42%"
"01.06.1993","0,0109","0,0104","0,0111","0,0101","","6,86%"
"01.05.1993","0,0102","0,0098","0,0103","0,0097","","4,08%"
"01.04.1993","0,0098","0,0096","0,0099","0,0095","","2,08%"
"01.03.1993","0,0096","0,0093","0,0099","0,0091","","3,23%"
"01.02.1993","0,0093","0,0091","0,0095","0,0089","","4,49%"
"01.01.1993","0,0089","0,0088","0,0090","0,0086","","2,30%"
"01.12.1992","0,0087","0,0084","0,0088","0,0082","","3,57%"
"01.11.1992","0,0084","0,0080","0,0084","0,0078","","5,00%"
"01.10.1992","0,0080","0,0074","0,0080","0,0072","","8,11%"
"01.09.1992","0,0074","0,0071","0,0078","0,0070","","4,23%"
"01.08.1992","0,0071","0,0071","0,0072","0,0070","","0,00%"
"01.07.1992","0,0071","0,0069","0,0072","0,0067","","1,43%"
"01.06.1992","0,0070","0,0070","0,0071","0,0066","","0,00%"
"01.05.1992","0,0070","0,0070","0,0070","0,0066","","4,48%"
"01.04.1992","0,0067","0,0067","0,0067","0,0060","","6,35%"
"01.03.1992","0,0063","0,0063","0,0065","0,0059","","6,78%"
"01.02.1992","0,0059","0,0059","0,0060","0,0054","","5,36%"
"01.01.1992","0,0056","0,0056","0,0058","0,0050","","9,80%"
"01.12.1991","0,0051","0,0051","0,0055","0,0050","","0,00%"
"01.11.1991","0,0051","0,0051","0,0051","0,0046","","2,00%"
"01.10.1991","0,0050","0,0050","0,0050","0,0046","","6,38%"
"01.09.1991","0,0047","0,0047","0,0050","0,0044","","0,00%"
"01.08.1991","0,0047","0,0047","0,0049","0,0044","","6,82%"
"01.07.1991","0,0044","0,0044","0,0046","0,0041","","0,00%"
"01.06.1991","0,0044","0,0044","0,0044","0,0041","","10,00%"
"01.05.1991","0,0040","0,0040","0,0044","0,0040","","-2,44%"
"01.04.1991","0,0041","0,0041","0,0042","0,0038","","7,89%"
"01.03.1991","0,0038","0,0038","0,0043","0,0034","","5,56%"
"01.02.1991","0,0036","0,0036","0,0037","0,0032","","16,13%"
"01.01.1991","0,0031","0,0031","0,0032","0,0031","","3,33%"
"01.12.1990","0,0030","0,0030","0,0030","0,0030","","3,45%"
"01.11.1990","0,0029","0,0029","0,0029","0,0029","","3,57%"
"01.10.1990","0,0028","0,0028","0,0028","0,0027","","3,70%"
"01.09.1990","0,0027","0,0027","0,0028","0,0025","","0,00%"
"01.08.1990","0,0027","0,0027","0,0030","0,0025","","0,00%"
"01.07.1990","0,0027","0,0027","0,0030","0,0026","","0,00%"
"01.06.1990","0,0027","0,0027","0,0027","0,0025","","3,85%"
"01.05.1990","0,0026","0,0026","0,0026","0,0026","","4,00%"
"01.04.1990","0,0025","0,0025","0,0025","0,0025","","0,00%"
"01.03.1990","0,0025","0,0025","0,0025","0,0025","","4,17%"
"01.02.1990","0,0024","0,0024","0,0024","0,0024","","4,35%"
